alpha cl cd cm:
   9.8  0.10814  0.01719 -0.03356
   9.9  0.10924  0.01720 -0.03381
  10.0  0.11034  0.01720 -0.03407
  10.1  0.11145  0.01720 -0.03433
  10.2  0.11255  0.01721 -0.03459
  10.3  0.11366  0.01721 -0.03485
  10.4  0.11476  0.01722 -0.03511
  10.5  0.11586  0.01722 -0.03537
  10.6  0.11697  0.01722 -0.03563
  10.7  0.11807  0.01723 -0.03589
  10.8  0.11917  0.01723 -0.03615
  10.9  0.12028  0.01724 -0.03641
  11.0  0.12138  0.01724 -0.03667
  11.1  0.12248  0.01725 -0.03693
  11.2  0.12359  0.01725 -0.03719
  11.3  0.12469  0.01726 -0.03744
  11.4  0.12579  0.01726 -0.03770
  11.5  0.12690  0.01726 -0.03796
  11.6  0.12800  0.01727 -0.03822
  11.7  0.12910  0.01727 -0.03848
  11.8  0.13021  0.01728 -0.03874
  11.9  0.13131  0.01728 -0.03900
  12.0  0.13241  0.01729 -0.03926
  12.1  0.13352  0.01729 -0.03952
  12.2  0.13462  0.01730 -0.03978
  12.3  0.13572  0.01730 -0.04004
  12.4  0.13683  0.01731 -0.04030
  12.5  0.13793  0.01731 -0.04056
  12.6  0.13903  0.01732 -0.04081
  12.7  0.14014  0.01732 -0.04107
  12.8  0.14124  0.01733 -0.04133
  12.9  0.14234  0.01733 -0.04159
  13.0  0.14345  0.01734 -0.04185
  13.1  0.14455  0.01734 -0.04211
  13.2  0.14566  0.01735 -0.04237
  13.3  0.14676  0.01735 -0.04263
  13.4  0.14786  0.01736 -0.04289
  13.5  0.14897  0.01736 -0.04315
  13.6  0.15007  0.01737 -0.04341
  13.7  0.15117  0.01738 -0.04367
  13.8  0.15228  0.01738 -0.04393
  13.9  0.15338  0.01739 -0.04419
  14.0  0.15448  0.01739 -0.04444
  14.1  0.15559  0.01740 -0.04470
  14.2  0.15669  0.01740 -0.04496
  14.3  0.15779  0.01741 -0.04522
  14.4  0.15890  0.01741 -0.04548
  14.5  0.16000  0.01742 -0.04574
  14.6  0.15951  0.01849 -0.04600
  14.7  0.15861  0.01958 -0.04626
  14.8  0.15745  0.02068 -0.04652
  14.9  0.15608  0.02180 -0.04678
  15.0  0.15452  0.02293 -0.04704
  15.1  0.15279  0.02408 -0.04730
  15.2  0.15092  0.02523 -0.04756
  15.3  0.14891  0.02641 -0.04781
  15.4  0.14676  0.02759 -0.04807
  15.5  0.14449  0.02879 -0.04833
  15.6  0.14211  0.03001 -0.04859
  15.7  0.13962  0.03124 -0.04885
  15.8  0.13702  0.03248 -0.04911
  15.9  0.13432  0.03374 -0.04937
  16.0  0.13151  0.03501 -0.04963
  16.1  0.12862  0.03629 -0.04989
  16.2  0.12563  0.03759 -0.05015
  16.3  0.12255  0.03890 -0.05041
  16.4  0.11939  0.04023 -0.05067
  16.5  0.11614  0.04157 -0.05093
  16.6  0.11281  0.04292 -0.05119
  16.7  0.10940  0.04429 -0.05144
  16.8  0.10591  0.04567 -0.05170
  16.9  0.10235  0.04707 -0.05196
  17.0  0.09871  0.04848 -0.05222
  17.1  0.09500  0.04990 -0.05248
  17.2  0.09121  0.05134 -0.05274
  17.3  0.08735  0.05279 -0.05300
  17.4  0.08343  0.05425 -0.05326
  17.5  0.07943  0.05573 -0.05352
  17.6  0.07537  0.05723 -0.05378
  17.7  0.07124  0.05873 -0.05404
  17.8  0.06705  0.06025 -0.05430
  17.9  0.06279  0.06178 -0.05456
  18.0  0.05847  0.06333 -0.05481
  18.1  0.05409  0.06489 -0.05507
  18.2  0.04965  0.06647 -0.05533
  18.3  0.04514  0.06806 -0.05559
  18.4  0.04058  0.06966 -0.05585
  18.5  0.03596  0.07127 -0.05611
  18.6  0.03128  0.07290 -0.05637
  18.7  0.02654  0.07455 -0.05663
  18.8  0.02174  0.07620 -0.05689
  18.9  0.01689  0.07787 -0.05715
  19.0  0.01199  0.07956 -0.05741
  19.1  0.00702  0.08125 -0.05767
  19.2  0.00201  0.08296 -0.05793
  19.3 -0.00306  0.08469 -0.05819
  19.4 -0.00818  0.08643 -0.05844
  19.5 -0.01336  0.08818 -0.05870
  19.6 -0.01858  0.08994 -0.05896
  19.7 -0.02386  0.09172 -0.05922
  19.8 -0.02919  0.09351 -0.05948
  19.9 -0.03457  0.09532 -0.05974
  20.0 -0.04000  0.09714 -0.06000
  21.0  0.03598  0.11606 -0.06084
  22.0  0.11165  0.13630 -0.06306
  23.0  0.18673  0.15786 -0.06665
  24.0  0.26091  0.18071 -0.07159
  25.0  0.33391  0.20483 -0.07783
  26.0  0.40543  0.23020 -0.08534
  27.0  0.47519  0.25681 -0.09407
  28.0  0.54292  0.28464 -0.10394
  29.0  0.60835  0.31365 -0.11491
  30.0  0.67122  0.34384 -0.12688
  31.0  0.73128  0.37518 -0.13978
  32.0  0.78830  0.40765 -0.15352
  33.0  0.84205  0.44121 -0.16802
  34.0  0.89232  0.47585 -0.18319
  35.0  0.93891  0.51154 -0.19893
  36.0  0.98164  0.54826 -0.21516
  37.0  1.02033  0.58597 -0.23178
  38.0  1.05484  0.62465 -0.24871
  39.0  1.08503  0.66427 -0.26586
  40.0  1.11078  0.70481 -0.28316
  41.0  1.13199  0.74623 -0.30053
  42.0  1.14857  0.78850 -0.31790
  43.0  1.16046  0.83159 -0.33522
  44.0  1.16761  0.87548 -0.35243
  45.0  1.17000  0.92012 -0.36948
  46.0  1.16929  0.93552 -0.37130
  47.0  1.16715  0.95063 -0.37281
  48.0  1.16359  0.96544 -0.37401
  49.0  1.15861  0.97997 -0.37493
  50.0  1.15223  0.99420 -0.37556
  51.0  1.14443  1.00812 -0.37592
  52.0  1.13525  1.02174 -0.37602
  53.0  1.12468  1.03504 -0.37587
  54.0  1.11274  1.04803 -0.37548
  55.0  1.09944  1.06070 -0.37487
  56.0  1.08481  1.07305 -0.37405
  57.0  1.06885  1.08507 -0.37304
  58.0  1.05159  1.09676 -0.37184
  59.0  1.03305  1.10812 -0.37048
  60.0  1.01325  1.11914 -0.36896
  61.0  0.99222  1.12982 -0.36730
  62.0  0.96997  1.14015 -0.36552
  63.0  0.94655  1.15014 -0.36363
  64.0  0.92197  1.15977 -0.36164
  65.0  0.89627  1.16905 -0.35958
  66.0  0.86948  1.17798 -0.35745
  67.0  0.84163  1.18655 -0.35527
  68.0  0.81275  1.19476 -0.35305
  69.0  0.78288  1.20260 -0.35082
  70.0  0.75206  1.21007 -0.34858
  71.0  0.72032  1.21718 -0.34635
  72.0  0.68771  1.22392 -0.34413
  73.0  0.65426  1.23028 -0.34195
  74.0  0.62001  1.23627 -0.33982
  75.0  0.58500  1.24189 -0.33774
  76.0  0.54928  1.24712 -0.33574
  77.0  0.51289  1.25197 -0.33382
  78.0  0.47588  1.25645 -0.33198
  79.0  0.43829  1.26054 -0.33025
  80.0  0.40016  1.26424 -0.32863
  81.0  0.36155  1.26757 -0.32713
  82.0  0.32250  1.27050 -0.32575
  83.0  0.28305  1.27305 -0.32451
  84.0  0.24326  1.27521 -0.32341
